address,area,price,longtitude,latitude
"Екатеринбург, Свердловская обл, Екатеринбург, Академический, ул. Вильгельма де Геннина, 34",60.4,65232,56.792143,60.518486
"Екатеринбург, Рощинская ул., 41",52.6,73194,56.779856,60.671909
"Екатеринбург, ул. 3-го Интернационала, ЖК «Татлин»",42.1,85273,56.854119,60.579373
"Екатеринбург, Свердловская обл, Екатеринбург, УНЦ, ул. Краснолесья, 76",40.4,74257,56.788145,60.531556
"Екатеринбург, Свердловская обл, Екатеринбург, Академический, ул. Анатолия Мехренцева, 38",57.6,70312,56.787262,60.527226
"Екатеринбург, Свердловская обл, Екатеринбург, УНЦ, ул. Краснолесья, 30",81.0,69753,56.78456,60.543315
"Екатеринбург, Свердловская обл, Екатеринбург, Уктус, мкр. Светлый, 3",35.0,64857,56.778889,60.701715
"Екатеринбург, Свердловская обл, Екатеринбург, Академический, ул. Рябинина, 21",55.0,65273,56.796294,60.510922
"Екатеринбург, ул. Крауля/Рабочих/Красных Зорь/Лоцмановых, 1 очередь",43.0,87209,56.831157,60.544456
"Екатеринбург, Переходный пер., 6",29.0,111724,56.803539,60.630946
"Екатеринбург, Свердловская обл, Екатеринбург, Академический, пр-кт. Академика Сахарова, 75",36.2,77348,56.78846,60.508919
"Екатеринбург, Свердловская обл, Екатеринбург, ВИЗ, ул. Крауля, 44",88.0,85227,56.830477,60.56023
"Екатеринбург, Чкаловский район, микрорайон Светлый, 5",32.0,68750,56.779136,60.70361
"Екатеринбург, ул. Рябинина, 29",40.0,69750,56.795471,60.509251
"Екатеринбург, Свердловская область, Екатеринбург, район Чкаловский, Ремесленный пер, 6",36.4,85137,56.771506,60.611758
"Екатеринбург, Октябрьский район, микрорайон Лечебный, Волчанский пер., 2А",63.0,62698,56.809748,60.710456
"Екатеринбург, Свердловская область, Екатеринбург, район Чкаловский, Родонитовая ул, 23А",34.7,105187,56.793883,60.624541
"Екатеринбург, ул.Стачек, д. 68",63.0,80159,56.897709,60.61774
"Екатеринбург, ул. Щербакова, этап 1.4",29.0,81034,56.792961,60.641672
"Екатеринбург, Свердловская область, Екатеринбург, район Ленинский, Анатолия Мехренцева ул",83.0,65060,56.787533,60.52887
