address,area,price
"Екатеринбург, микрорайон Юго-Западный, Белореченская ул., 4",33.0,109091
"Екатеринбург, ул. Крестинского, 35А",46.0,85870
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 31",56.0,69464
"Екатеринбург, ул. 8 марта, д. 204Б",51.0,88235
"Екатеринбург, ул. Крестинского, д. 4",53.0,83962
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",41.5,75904
"Екатеринбург, Краснолесья 30",64.0,75000
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Радищева, 33",86.0,91744
"Екатеринбург, Екатеринбург, ул. Прониной, 27",59.0,57627
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Красных командиров, 21",40.0,72250
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Пехотинцев, 4 к1",67.0,70746
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Евгения Савкова, 8",30.3,75875
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Московская, 198",83.8,78162
"Екатеринбург, Свердловская обл. г.Екатеринбург, ул.Билимбаевская, д.25, корпус 4",37.6,65160
"Екатеринбург, Екатеринбург, Водоемная 80/3",35.0,88286
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Циолковского, 27",46.0,114130
"Екатеринбург, Куйбышева 159 а",78.0,58974
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Краснолесья, 10 к3",39.0,79487
"Екатеринбург, Екатеринбург, Шевченко 18",126.0,87222
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Саввы Белых, 1",47.0,93404
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Большакова, 25",96.0,91667
"Екатеринбург, Свердловская обл, г Екатеринбург, ул Рябинина, 23",84.0,57024
"Екатеринбург, ул. Машинистов, 3",36.0,102500
"Екатеринбург, Свердловская область, Екатеринбург, улица Ткачей, 16А",75.0,112000
"Екатеринбург, ул. Крауля, 87к2",38.5,82743
"Екатеринбург, ул. Циолковского, 29",46.0,109783
"Екатеринбург, ул. Блюхера, 97",96.8,53719
"Екатеринбург, ул. Куйбышева, 21",74.2,134771
"Екатеринбург, ул. Краснолесья, 155",40.0,69750
"Екатеринбург, Октябрьский район, микрорайон Кольцово, Ракетная ул., 18",68.0,61750
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 47",58.0,68103
"Екатеринбург, ул. Токарей, 27к2",42.1,104513
"Екатеринбург, ул. Шейнкмана, 88",85.0,144706
"Екатеринбург, Октябрьский район, жилой комплекс Clever Park",92.7,81304
"Екатеринбург, ул. Краснолесья, 16к3",81.0,61728
"Екатеринбург, Карасьевская , 38",69.0,60145
"Екатеринбург, Чкаловский район, микрорайон Светлый, 6",58.8,61037
"Екатеринбург, ул. Юлиуса Фучика, 9",107.1,84034
"Екатеринбург, микрорайон Академический, ул. Павла Шаманова, 11",83.0,60120
"Екатеринбург, Золотистый б-р, 4",40.0,73750
"Екатеринбург, ул. Гастелло/Дальневосточная/Мраморская/пер. Каслинский, стр. 2",79.7,75270
"Екатеринбург, ул. Лётчиков, 7",31.2,64103
"Екатеринбург, ул. Щербакова, 20",93.0,60215
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, ул. Крупносортщиков, 12А",41.0,65829
"Екатеринбург, ул. Начдива Онуфриева, 6к1",37.0,80811
"Екатеринбург, Чкаловский район, микрорайон Химмаш, Профсоюзная ул., 83",48.0,53125
"Екатеринбург, Кировский район, микрорайон Втузгородок, ул. Мира, 44Б",62.2,80386
"Екатеринбург, ул. Юлиуса Фучика, 11",71.8,96100
"Екатеринбург, ул. Ткачей, 17",117.0,101709
"Екатеринбург, ул. Евгения Савкова, 8",54.0,59259
"Екатеринбург, микрорайон ЖБИ, Рассветная ул., 8к3",28.0,94643
"Екатеринбург, ул. 3-го Интернационала, стр. 1а",37.7,72500
"Екатеринбург, ул. 8 Марта, 181к5",46.0,98478
"Екатеринбург, ул. Репина, стр. 4А",74.0,73378
"Екатеринбург, ул. Репина, стр. 4Б",57.0,76632
