address,price,longitude,latitude
"Санкт-Петербург, Ломоносов, улица Сафронова, 2",76512,29.782368,59.911764
"Санкт-Петербург, Планерная улица, 79",111538,30.21116,60.026887
"Санкт-Петербург, Кременчугская улица",184788,30.373432,59.92037
"Санкт-Петербург, улица Кржижановского, 13",92166,30.480215,59.930485
"Санкт-Петербург, проспект Культуры, 21к3",113379,30.380358,60.046144
"Санкт-Петербург, Комендантский проспект, 60к1",126706,30.225614,60.035351
"Санкт-Петербург, Парашютная улица, 44к2",127413,30.249465,60.02984
"Санкт-Петербург, Введенская улица, 19",93113,30.305825,59.955372
"Санкт-Петербург, Брянцева ул., д 28, корпус 1",126623,30.408368,60.04197
"Санкт-Петербург, Муринская дорога, 84",100806,30.44951,60.036987
"Санкт-Петербург, Кушелевская дорога, 3к3",138610,30.369291,59.986974
"Санкт-Петербург, городской посёлок Янино-1, Ясная улица",80334,30.599358,59.958471
"Санкт-Петербург, набережная реки Каменки, 11к2",96660,30.27566,60.056975
"Санкт-Петербург, Барочная улица, 4Ас2",234090,30.283681,59.965795
"Санкт-Петербург, проспект Народного Ополчения, 131",130000,30.263442,59.834962
"Санкт-Петербург, Цимлянская улица, 6",101547,30.411629,59.9486
"Санкт-Петербург, Пушкинский район, территория Гуммолосары, участок 72",118530,30.417872,59.690272
"Санкт-Петербург, Наличная улица, 26к6",147289,30.229962,59.940384
"Санкт-Петербург, Будапештская улица, 112к1",115200,30.409688,59.827695
"Санкт-Петербург, Приморский район, муниципальный округ Коломяги, жилой комплекс Легенда Комендантского",143717,30.227438,60.033225
"Санкт-Петербург, Плесецкая улица, 10",139501,30.217098,60.035059
"Санкт-Петербург, Плесецкая улица, 14",119520,30.218491,60.035225
"Санкт-Петербург, Институтский проспект, 16к1",235270,30.346411,60.002382
"Санкт-Петербург, Русановская улица, 16к3",100000,30.507838,59.867037
"Санкт-Петербург, Мурино, Привокзальная площадь, 1Ак1",141667,30.445243,60.050237
"Санкт-Петербург, Василеостровский район, муниципальный округ Морской, жилой комплекс Голден Сити",103061,30.19411,59.941164
"Санкт-Петербург, улица Хлопина, 7к3",103423,30.371177,59.999548
"Санкт-Петербург, улица Грибалёвой, 9к1",168463,30.353525,59.984445
"Санкт-Петербург, проспект Героев, 33",130602,30.149374,59.858272
"Санкт-Петербург, улица Ушинского, 39к3",85950,30.419803,60.042114
"Санкт-Петербург, Наличная улица, 24к1",169304,30.23175,59.939893
"Санкт-Петербург, Парашютная улица, 44к2",127168,30.249465,60.02984
"Санкт-Петербург, Лиговский проспект",148302,30.348064,59.911543
"Санкт-Петербург, Наличная улица, 24к1",167056,30.23175,59.939893
"Санкт-Петербург, улица Пограничника Гарькавого, 9",117566,30.146545,59.841717
"Санкт-Петербург, проспект Маршала Блюхера, 52",99237,30.431409,59.975864
"Санкт-Петербург, Дальневосточный проспект, 12к2",153450,30.438479,59.913726
"Санкт-Петербург, Морская набережная, 35к3",138989,30.2215,59.959692
"Санкт-Петербург, Парашютная улица, 44к1",111675,30.251028,60.030065
"Санкт-Петербург, городской посёлок Янино-1, Голландская улица, 5",72927,30.577251,59.950501
"Санкт-Петербург, Ломоносов, Александровская улица, 20/16",74751,29.767348,59.910627
"Санкт-Петербург, улица Салова, 61",132914,30.368554,59.885142
"Санкт-Петербург, Фрунзенский район, муниципальный округ Волковское, жилой комплекс Вало, ул. Салова, дом 61, лит. А",107150,30.368554,59.885142
"Санкт-Петербург, улица Коллонтай, 45к2",96610,30.499574,59.923978
"Санкт-Петербург, улица Партизана Германа, 28к2",93081,30.179315,59.827257
"Санкт-Петербург, Барочная улица, 4АД",290771,30.287481,59.965822
"Санкт-Петербург, Мурино, Охтинская аллея, 16",113027,30.426487,60.049792
"Санкт-Петербург, бульвар Головнина, 12к1",126741,30.200156,59.93758
"Санкт-Петербург, 10-я Красноармейская улица, 14",168091,30.299761,59.912788
"Санкт-Петербург, посёлок Бугры, Воронцовский бульвар, 5к5",86604,30.416228,60.054828
"Санкт-Петербург, улица Тамбасова, 8к4",98639,30.161439,59.839986
"Санкт-Петербург, Московский район, муниципальный округ Московская Застава",205534,30.323854,59.885359
"Санкт-Петербург, улица Оптиков, 37",126503,30.212238,60.002036
"Санкт-Петербург, Лиговский проспект, 125",93973,30.352016,59.918142
"Санкт-Петербург, Малая Разночинная улица, 10",173112,30.289664,59.958778
"Санкт-Петербург, Брюсовская улица, 9",90678,30.421501,59.987353
"Санкт-Петербург, 11-я Красноармейская улица",169466,30.302456,59.912215
"Санкт-Петербург, улица Веденеева, 4",147158,30.37239,60.02218
"Санкт-Петербург, Сестрорецк, жилой комплекс Русские Сезоны",192053,29.954799,60.114082
"Санкт-Петербург, посёлок Парголово, Тихоокеанская улица, 1к1",72815,30.244299,60.07244
"Санкт-Петербург, набережная реки Каменки, 11к2",101250,30.27566,60.056975
"Санкт-Петербург, Афонская улица, 24к1",119831,30.300678,60.031598
"Санкт-Петербург, Комендантский проспект, 30к2",94406,30.247722,60.014585
"Санкт-Петербург, Парашютная улица, 44к1",113597,30.251028,60.030065
"Санкт-Петербург, посёлок Шушары, территория Славянка, Ростовская улица, 4к7",97656,30.45526,59.737414
"Санкт-Петербург, Белоостровская улица, 8",132563,30.321267,59.986088
"Санкт-Петербург, Кременчугская улица, 17к3",192857,30.370063,59.92042
"Санкт-Петербург, Наличная улица, 26к4",198594,30.228336,59.940722
"Санкт-Петербург, Московский проспект, 65к4",214292,30.315751,59.907451
"Санкт-Петербург, улица Демьяна Бедного, 34к1",123611,30.391749,60.04968
"Санкт-Петербург, улица Танкиста Хрустицкого, 21",105691,30.253435,59.836088
"Санкт-Петербург, Кременчугская улица",193102,30.373432,59.92037
"Санкт-Петербург, Верейская улица, 37",144092,30.328418,59.913307
"Санкт-Петербург, Петергоф, Парковая улица, 16",115385,29.936105,59.859659
"Санкт-Петербург, Комендантский проспект, 60к1",129110,30.225614,60.035351
"Санкт-Петербург, проспект Славы, 2к2",127695,30.368473,59.855896
"Санкт-Петербург, Туристская улица, 24/42",148544,30.208034,60.000393
"Санкт-Петербург, набережная реки Каменки, 11к2",97110,30.27566,60.056975
"Санкт-Петербург, Политехническая улица, 6",138117,30.356948,59.993293
"Санкт-Петербург, улица Бутлерова, 30",116710,30.399492,60.005585
"Санкт-Петербург, Пушкинский район, территория Гуммолосары, участок 72",109890,30.417872,59.690272
"Санкт-Петербург, Парашютная улица, 44к1",116402,30.251028,60.030065
"Санкт-Петербург, улица Добровольцев, 56",105161,30.168284,59.827483
"Санкт-Петербург, Пулковское шоссе, 42к6",118676,30.34403,59.814695
"Санкт-Петербург, посёлок Шушары, территория Пулковское, Образцовая улица, 9Б",104105,30.366587,59.754393
"Санкт-Петербург, 26-я линия В.О., 15Б",169184,30.255888,59.932743
"Санкт-Петербург, Новоизмайловский проспект, 14",119565,30.306678,59.872277
"Санкт-Петербург, Комендантский проспект, 56",153620,30.230016,60.031584
"Санкт-Петербург, Белоостровская улица, 8",143589,30.321267,59.986088
"Санкт-Петербург, Московский проспект, 97",191728,30.316722,59.893304
"Санкт-Петербург, Пушкин, Колпинское шоссе, 59",104779,30.45243,59.725031
"Санкт-Петербург, Институтский проспект, 16к1",231069,30.346411,60.002382
"Санкт-Петербург, улица Адмирала Черокова, 18к2",151917,30.142089,59.853482
"Санкт-Петербург, улица Партизана Германа, 33",97872,30.174572,59.830789
"Санкт-Петербург, Василеостровский район, муниципальный округ Морской, жилой комплекс Голден Сити",109278,30.19411,59.941164
"Санкт-Петербург, Кронштадт, Кронштадтское шоссе, 10к2",98333,29.75602,60.001329
"Санкт-Петербург, Московский проспект, 97",189600,30.316722,59.893304
"Санкт-Петербург, проспект Героев, 31",140361,30.152653,59.858787
"Санкт-Петербург, Плесецкая улица, 10",129784,30.217098,60.035059
"Санкт-Петербург, Архивная улица, 9к2",126234,30.448181,59.902406
"Санкт-Петербург, Лиговский проспект",124162,30.348064,59.911543
"Санкт-Петербург, Кадетская линия, 27А",109873,30.286071,59.946392
