address,price
"Екатеринбург, Железнодорожный район, микрорайон Старая Сортировка, Расточная улица, 35",57047
"Екатеринбург, улица Токарей, 46",77305
"Екатеринбург, Верх-Исетский район, жилой комплекс Суходольский Квартал",58032
"Екатеринбург, микрорайон Юго-Западный, улица Громова, 28",75258
"Екатеринбург, улица Ткачей, 17",91629
"Екатеринбург, Ленина, 131",38710
"Екатеринбург, микрорайон Уктус",68098
"Екатеринбург, улица Сурикова, 50",120513
"Екатеринбург, проспект Космонавтов, 46А",112903
"Екатеринбург, Ангарская улица, 64",58559
"Екатеринбург, Московская улица, 198",93443
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Старых Большевиков, 3",75758
"Екатеринбург, Верх-Исетский район, микрорайон Широкая Речка, улица Соболева, 21к1",55053
"Екатеринбург, микрорайон ЖБИ",84176
"Екатеринбург, Машиностроителей, 6а",57778
"Екатеринбург, Чкаловский район, микрорайон Вторчермет, Санаторная улица, 35",76486
"Екатеринбург, квартал Центральный, жилой комплекс Екатерининский Парк",102850
"Екатеринбург, Железнодорожный район, микрорайон Старая Сортировка, Маневровая улица, 12",65000
"Екатеринбург, Кировский район, микрорайон Пионерский, улица Данилы Зверева, 7В",90741
"Екатеринбург, Верх-Исетский район, микрорайон Визовский",103430
"Екатеринбург, Чкаловский район, микрорайон Светлый, 1",67073
"Екатеринбург, проспект Ленина, 52к1",99622
"Екатеринбург, Кировский район, микрорайон Пионерский",97912
"Екатеринбург, Московская улица, 82",72209
"Екатеринбург, улица Металлургов, 18",67986
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш",70502
"Екатеринбург, Орджоникидзе, 9",68333
"Екатеринбург, улица Шейнкмана, 102",83964
"Екатеринбург, Восточная улица, 31",83582
"Екатеринбург, улица Токарей, 27к2",107246
"Екатеринбург, улица Чайковского, 88к1",98000
"Екатеринбург, улица Белинского, 108",81618
"Екатеринбург, улица Юмашева, 18",79845
"Екатеринбург, Орджоникидзевский район, улица Избирателей, 60",82941
"Екатеринбург, улица 8 Марта, 90",67546
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Стачек, 68/10",79398
"Екатеринбург, улица Ткачей, 17",91629
"Екатеринбург, улица Малышева, 84",98438
"Екатеринбург, Латвийская улица, 56",79295
"Екатеринбург, Кировский район, микрорайон Пионерский, улица Смазчиков, 18",81340
"Екатеринбург, Рощинская улица, 37А",75000
"Екатеринбург, улица Новгородцевой, 11",78059
"Екатеринбург, улица Новгородцевой, 15",88589
"Екатеринбург, Самолётная улица, 23",74236
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, улица Пехотинцев, 4к2",69502
"Екатеринбург, Железнодорожный район, жилой комплекс Космонавтов 11, к3.2",58800
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, Ольховская улица, 23",61750
"Екатеринбург, Красный переулок, 8Б",121739
"Екатеринбург, микрорайон Автовокзал",101400
"Екатеринбург, Восточная улица, 80Б",76512
"Екатеринбург, Генеральская улица, 12",78556
"Екатеринбург, ул.Маневровая-Таватуйская",71814
"Екатеринбург, Орджоникидзевский район, улица Ильича, 42А",94318
"Екатеринбург, проспект Космонавтов, 58",78240
"Екатеринбург, Орджоникидзевский район, бульвар Культуры, 10",67217
"Екатеринбург, Свердловская область, муниципальное образование Город Екатеринбург, посёлок Мичуринский, Широкореченская",56800
"Екатеринбург, улица Большакова, 25",115880
"Екатеринбург, Чкаловский район, микрорайон Вторчермет, Ремесленный переулок, 6",57513
"Екатеринбург, Кировский район, микрорайон Втузгородок, Студенческая улица, 80",96552
"Екатеринбург, Октябрьский район, микрорайон Кольцово, улица Авиаторов, 1А",56579
"Екатеринбург, улица Большакова, 25",115880
"Екатеринбург, улица Токарей, 27к2",107246
"Екатеринбург, микрорайон ЖБИ",81500
"Екатеринбург, Кировский район, микрорайон Пионерский, Боровая улица, 25",68250
"Екатеринбург, Кировский район, микрорайон Пионерский, Уральская улица, 65",68800
"Екатеринбург, Верх-Исетский район, жилой комплекс Флагман",76500
"Екатеринбург, Красноармейская, 18",54878
"Екатеринбург, Кировский район, микрорайон Пионерский, Уральская улица, 6",82462
"Екатеринбург, Филатовская улица",68600
"Екатеринбург, улица Щербакова, 35",75967
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, переулок Замятина, 42",58005
"Екатеринбург, микрорайон Уктус",85529
"Екатеринбург, улица Готвальда, 21к3",86124
"Екатеринбург, Советская улица, 14",77414
"Екатеринбург, Ленинский район, жилой комплекс Чемпион Парк",154176
"Екатеринбург, Рощинская улица, 39Б",70145
"Екатеринбург, улица Евгения Савкова, 3",62222
"Екатеринбург, Октябрьский район, жилой комплекс Clever Park",91029
"Екатеринбург, улица Мичурина, 171",81776
"Екатеринбург, Октябрьский район, микрорайон Компрессорный, жилой комплекс Хрустальные Ключи",66600
"Екатеринбург, улица Блюхера, 75к1",86667
"Екатеринбург, улица Евгения Савкова, 35",58100
"Екатеринбург, микрорайон Юго-Западный, Волгоградская улица, 45",69767
"Екатеринбург, Миасская улица, 12",80263
"Екатеринбург, Авиационная улица, 65к4",79365
"Екатеринбург, Железнодорожный район, микрорайон Вокзальный, улица Стрелочников, 2",86609
"Екатеринбург, Орджоникидзевский район, бульвар Культуры, 10",67217
"Екатеринбург, Лучистая улица, 2",82895
"Екатеринбург, Орджоникидзевский район, Донбасская улица, 13Б",67000
"Екатеринбург, Луганская улица, 6",104328
"Екатеринбург, микрорайон Юго-Западный, Белореченская улица, 24к3",75556
"Екатеринбург, ул.Маневровая-Таватуйская",71814
"Екатеринбург, улица Белинского, 108",75075
"Екатеринбург, Авиационная улица, 57",77273
"Екатеринбург, микрорайон ЖБИ",81500
"Екатеринбург, Кировский район, микрорайон Пионерский, Июльская улица, 25",87544
"Екатеринбург, Орджоникидзевский район, Республиканская улица, 5",78829
"Екатеринбург, улица Новгородцевой, 15",89336
"Екатеринбург, Таватуйская улица, 8",99872
"Екатеринбург, Уральских рабочих, 50",59184
"Екатеринбург, Чкаловский район, микрорайон Светлый, 6",64487
"Екатеринбург, Байкальская улица, 46",68293
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Стачек, 4",69595
"Екатеринбург, Верх-Исетский район, жилой комплекс Суходольский Квартал",58611
"Екатеринбург, Кировский район, микрорайон Пионерский, улица Чекистов, 5",80499
"Екатеринбург, Кировский район, микрорайон Втузгородок, улица Мира, 42",52703
"Екатеринбург, улица Амундсена, 70",77083
"Екатеринбург, Орджоникидзевский район, улица Ломоносова, 44",24359
"Екатеринбург, Авиационная улица, 61/2",64073
"Екатеринбург, Орджоникидзевский район, Донбасская улица, 35",73171
"Екатеринбург, микрорайон Уктус",67232
"Екатеринбург, Орджоникидзевский район, Донбасская улица, 13Б",71000
"Екатеринбург, Железнодорожный район, микрорайон Старая Сортировка, Червонная улица, 19",56044
"Екатеринбург, улица Малышева, 85",92857
"Екатеринбург, Чкаловский район",109651
"Екатеринбург, улица Чайковского, 62",75035
"Екатеринбург, улица Мичурина, 99",91309
"Екатеринбург, микрорайон ЖБИ",84176
"Екатеринбург, Онежская улица, 7",67213
"Екатеринбург, Октябрьский район, микрорайон Синие Камни, улица Анны Бычковой, 10",59490
"Екатеринбург, квартал Центральный, жилой комплекс Екатерининский Парк",94050
"Екатеринбург, микрорайон Елизавет, улица Колхозников, 48",54762
"Екатеринбург, Советская улица, 18",62500
"Екатеринбург, Верх-Исетский район, микрорайон Визовский",101539
"Екатеринбург, Свердловская область, муниципальное образование Город Екатеринбург, посёлок Совхозный, Мостовая улица, 53Б",65758
"Екатеринбург, Железнодорожный район, микрорайон Старая Сортировка, Расточная улица, 43к2",66667
"Екатеринбург, Кировский район, микрорайон Пионерский",97912
"Екатеринбург, улица Фурманова, 26",61939
"Екатеринбург, Проезжая улица, 159А",35239
"Екатеринбург, улица Фролова, 19к1",74976
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш",66920
"Екатеринбург, улица 8 Марта, 142",74000
"Екатеринбург, Байкальская улица, 50",83871
"Екатеринбург, улица Куйбышева, 84к2",80875
"Екатеринбург, микрорайон Юго-Западный, улица Громова, 28",66421
"Екатеринбург, улица Сакко и Ванцетти, 99",266667
"Екатеринбург, проспект Ленина, 69к14",66981
"Екатеринбург, Чкаловский район, микрорайон Светлый, 6",69634
"Екатеринбург, улица Татищева, 77",94203
"Екатеринбург, Железнодорожный район, микрорайон Вокзальный, Гражданская улица, 11",90098
"Екатеринбург, Верх-Исетский район, жилой комплекс Суходольский Квартал",58611
"Екатеринбург, Орджоникидзевский район, улица Машиностроителей, 77",67742
"Екатеринбург, улица Металлургов, 10А",63123
"Екатеринбург, микрорайон Уктус",65059
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, Лесная улица, 39",58111
"Екатеринбург, микрорайон Академический, улица Павла Шаманова, 26",71429
"Екатеринбург, Чкаловский район",110934
"Екатеринбург, улица Рябинина, 31",62375
"Екатеринбург, улица Серова, 21",76731
"Екатеринбург, Железнодорожный район, жилой комплекс Космонавтов 11, к3.2",65700
"Екатеринбург, Чкаловский район, микрорайон Вторчермет, Симферопольская улица, 39",60050
