address,area,price,longtitude,latitude
"Санкт-Петербург, Малый пр-т В.О., д. 63/14, лит. А",37.3,160858,59.938725,30.243913
"Санкт-Петербург, ул. Лётчика Лихолетова, 14к2",33.2,118976,59.84329,30.105312
"Санкт-Петербург, Санкт-Петербург, Королева пр-кт, 46к3",56.0,100000,60.022058,30.249159
"Санкт-Петербург, пр-т Королева/ул. Плесецкая/Глухарская, уч. 307, стр. 1",37.8,111376,60.036474,30.226216
"Санкт-Петербург, Плесецкая ул.",50.1,107264,60.036474,30.226216
"Санкт-Петербург, Парашютная ул., 42к2",26.1,145594,60.029022,30.250049
"Санкт-Петербург, Санкт-Петербург, Ремесленная улица, 21",34.9,808883,59.957007,30.271339
"Санкт-Петербург, пр-т Патриотов, стр. 1",60.0,128853,59.863161,30.151926
"Санкт-Петербург, ул. Катерников, д. 6, корп. 1, лит. А",68.0,145048,59.853523,30.156543
"Санкт-Петербург, пр-т Патриотов, стр. 2",39.0,119210,59.863161,30.151926
"Санкт-Петербург, ул. Катерников, д. 6, корп. 1, лит. А",93.0,143735,59.853523,30.156543
"Санкт-Петербург, пр-т Патриотов, стр. 1",46.0,99278,59.863161,30.151926
"Санкт-Петербург, пос. Парголово, Тихоокеанская ул., 18к2",67.8,77000,60.070428,30.234247
"Санкт-Петербург, ул. Салова, д. 61, стр. 1",49.7,131791,59.885142,30.368554
"Санкт-Петербург, Санкт-Петербург, Ремесленная улица, 21",82.0,140854,59.957007,30.271339
"Санкт-Петербург, ул. Маршала Казакова, 70к1",54.3,109576,59.866689,30.175012
"Санкт-Петербург, пр-т Комендантский, стр. 54",51.6,151606,60.030852,30.230807
"Санкт-Петербург, пр-т Комендантский, стр. 54",135.5,140524,60.030852,30.230807
"Санкт-Петербург, ул. Салова, д. 61, стр. 1",27.3,155128,59.885142,30.368554
"Санкт-Петербург, Санкт-Петербург, Ремесленная улица, 21",80.5,152671,59.957007,30.271339
"Санкт-Петербург, ул. Парашютная, стр. 21",85.1,103048,60.018475,30.273791
"Санкт-Петербург, пос. Парголово, Тихоокеанская ул., 18к2",25.5,77000,60.070428,30.234247
"Санкт-Петербург, Выборгское шоссе, 15",43.0,132558,60.05295,30.311862
"Санкт-Петербург, Санкт-Петербург, Ремесленная улица, 21",67.2,189211,59.957007,30.271339
"Санкт-Петербург, ул. Салова, д. 61, лит. А",25.0,112400,59.885142,30.368554
"Санкт-Петербург, территория Лахта, Новая ул., 51к2",80.0,125000,60.005666,30.151683
"Санкт-Петербург, пр-т Героев, стр. 31",138.0,143022,59.858787,30.152653
"Санкт-Петербург, пр-т Героев, стр. 31",68.8,137064,59.858787,30.152653
"Санкт-Петербург, пр-т Героев, стр. 33",73.3,139355,59.858272,30.149374
"Санкт-Петербург, пр-т Героев, стр. 33",68.8,147576,59.858272,30.149374
"Санкт-Петербург, пр-т Героев, стр. 33",89.4,146368,59.858272,30.149374
"Санкт-Петербург, пр-т Московский, стр. 1",107.3,211579,59.925633,30.317162
"Санкт-Петербург, пр-т Героев, стр. 31",75.3,132094,59.858787,30.152653
"Санкт-Петербург, пр-т Московский, стр. 1",98.7,170965,59.925633,30.317162
"Санкт-Петербург, пр-т Героев, стр. 31",138.0,151004,59.858787,30.152653
"Санкт-Петербург, пр-т Героев, стр. 31",75.3,139662,59.858787,30.152653
"Санкт-Петербург, пр-т Героев, стр. 31",75.3,139662,59.858787,30.152653
"Санкт-Петербург, пр-т Героев, стр. 31",78.2,136174,59.858787,30.152653
"Санкт-Петербург, пр-т Московский, стр. 3",165.3,275433,59.925218,30.316578
"Санкт-Петербург, ул. Бадаева, 14к1",47.0,144681,59.919486,30.442504
"Санкт-Петербург, Санкт-Петербург, Ремесленная улица, 21",76.0,163355,59.957007,30.271339
"Санкт-Петербург, Санкт-Петербург, Октябрьская набережная",59.0,84746,59.882717,30.451298
"Санкт-Петербург, Шуваловский пр-т, 41к1",108.0,106019,60.030052,30.241434
"Санкт-Петербург, пр-т Королева/ул. Плесецкая/Глухарская, уч. 307, стр. 1",37.8,111376,60.036474,30.226216
"Санкт-Петербург, пр-т Патриотов, стр. 1",60.0,128853,59.863161,30.151926
"Санкт-Петербург, ул. Катерников, д. 6, корп. 1, лит. А",68.0,145048,59.853523,30.156543
"Санкт-Петербург, ул. Бадаева, 14к1",47.0,144681,59.919486,30.442504
"Санкт-Петербург, Санкт-Петербург, Ремесленная улица, 21",76.0,163355,59.957007,30.271339
"Санкт-Петербург, Санкт-Петербург, Октябрьская набережная",59.0,84746,59.882717,30.451298
"Санкт-Петербург, ул. Среднерогатская, д. 16, корп. 4",24.2,115289,59.823643,30.343078
"Санкт-Петербург, Яхтенная ул., 34",28.2,147163,60.004267,30.223324
"Санкт-Петербург, Санкт-Петербург, Туристская ул., 11К2",93.7,101387,59.996767,30.211592
"Санкт-Петербург, Санкт-Петербург, Смоленки реки набережная, 3К1",61.0,154918,59.949469,30.264035
"Санкт-Петербург, Московский пр-т, 183 к185",43.0,186047,59.855331,30.319839
"Санкт-Петербург, Санкт-Петербург, Октябрьская набережная",59.0,84585,59.882717,30.451298
"Санкт-Петербург, Петергофское ш., 84к19",82.3,89307,59.845962,30.108079
"Санкт-Петербург, пр. Стачек, ЖК «Шереметьевский дворец»",56.7,116282,59.846613,30.22353
"Санкт-Петербург, Кушелевская дорога, 6к1",41.6,151322,59.98805,30.365635
"Санкт-Петербург, Санкт-Петербург, Приморский район, муниципальный округ Коломяги, жилой комплекс Чистое Небо",32.0,138750,60.038802,30.215742
"Санкт-Петербург, Санкт-Петербург, Комендантский проспект",36.0,83222,60.036596,30.225758
"Санкт-Петербург, пр-т Ветеранов, 173к7",24.6,107724,59.843923,30.110639
"Санкт-Петербург, г Санкт-Петербург, Антокольский пер, 4 к1 с1",43.7,109840,59.860979,30.454855
"Санкт-Петербург, Студенческая ул., 24к1",106.0,152830,59.99454,30.32477
"Санкт-Петербург, Петровский пр-т, 24к3",98.6,212972,59.959435,30.25922
"Санкт-Петербург, пр-т Стачек, 1 этап",61.8,114982,59.898896,30.274231
"Санкт-Петербург, Ленинский пр-т, 82к1",58.0,143103,59.858367,30.196257
"Санкт-Петербург, Ленинградская область, Всеволожский район, Мурино, Екатерининская улица, 22к1",37.0,91351,60.062346,30.440446
"Санкт-Петербург, пр-т Большой Сампсониевский, стр. 2",40.8,154167,59.957354,30.343914
"Санкт-Петербург, пр. Стачек, ЖК «Шереметьевский дворец»",58.7,114641,59.846613,30.22353
"Санкт-Петербург, Студенческая ул., 24к1",61.0,185246,59.99454,30.32477
"Санкт-Петербург, ул. Лени Голикова, уч. 145",26.9,134050,59.839353,30.239655
"Санкт-Петербург, пр. Стачек, ЖК «Шереметьевский дворец»",59.0,115631,59.846613,30.22353
"Санкт-Петербург, пр-т Московский, уч. 108",24.6,182296,59.893493,30.320099
"Санкт-Петербург, пр. Стачек, ЖК «Шереметьевский дворец»",57.1,116241,59.846613,30.22353
