address,area,price,longtitude,latitude
"Москва, ул. Малая Бронная, д. 15Б",222.0,1734234,55.760717,37.596174
"Москва, ул. Зорге, вл. 9, корп. 1",64.2,167140,55.781818,37.506639
"Москва, ул. Камова/Каштановая/Вертолетная, д. 54",61.1,83255,55.69901,37.958411
"Москва, Ленинградский пр-т, 29к3",54.0,296296,55.784303,37.562775
"Москва, пр-т Вернадского, 94к2",89.0,505618,55.652796,37.474192
"Москва, ул. Никитинская, вл. 10/1",39.7,207383,55.799588,37.776296
"Москва, дер. Раздоры, ш. Мякининское, стр. 12",62.5,116956,55.79769,37.352974
"Москва, ул. Феодосийская, д. 7, корп. 5",99.4,144728,55.559746,37.575639
"Москва, пр-д Шмитовский, вл. 39",76.6,203867,55.755135,37.526986
"Москва, пр-т Волгоградский, вл. 32/5, корп. А, стр. 4",60.3,180900,55.730725,37.670034
"Москва, пр-т Волгоградский, вл. 32/5, корп. А, стр. 1",40.6,195900,55.733097,37.670357
"Москва, п. Сосенское, пос. Коммунарка, стр. 8.4",97.0,106136,55.572986,37.475189
"Москва, Производственная ул., 10к2",59.8,172241,55.643144,37.38499
"Москва, кв. 75, ул. Народного Ополчения, вл. 15, стр. 6",50.0,212000,55.774335,37.474668
"Москва, ул. Никулинская, вл. 11Г, стр. 2",65.0,131753,55.664497,37.451645
"Москва, ул. Никулинская, вл. 11Г, стр. 1",22.8,179974,55.664497,37.451645
"Москва, ул. Бочкова, вл. 11А, корп. 3",58.6,181876,55.810405,37.62634
"Москва, пос. Московский, дер. Румянцево, д. 3, вл. 17Е",28.4,158137,55.633963,37.425468
"Москва, ул. Юннатов, вл. 4",61.9,276800,55.798439,37.563718
"Москва, ул. Вавилова, 69А",53.7,292446,55.681047,37.551088
"Москва, Шлюзовая наб., д. 2А",44.4,428380,55.730948,37.64401
"Москва, ул. Донецкая, вл. 30, стр. 3",92.9,127341,55.64285,37.703649
"Москва, Волоколамское ш., вл. 71/8",98.9,176912,55.821077,37.430462
"Москва, Москва, Замоскворецкая линия, метро Белорусская",68.6,249000,55.777388,37.582206
"Москва, ул. Удальцова, 87к3",101.0,297030,55.68631,37.48676
